new_packets,energy_spent,nodes_died,new_drops,packet_ratio,energy_ratio,energy_consumption_ratio,alive_ratio,death_ratio,drop_ratio,aoi_norm,packet_reward,energy_reward,alive_reward,aoi_penalty,energy_penalty,death_penalty,drop_penalty,total_reward,step
0,0.0030000000000001137,0,0,0.0,0.999,0.001000000000000038,1.0,0.0,0.0,0.02,0.0,0.24975,0.2,-0.002,-5.00000000000019e-05,-0.0,-0.0,0.4477,1
1,0.14243654470533018,0,1,0.3333333333333333,0.9515211517648899,0.04747884823511006,1.0,0.0,0.3333333333333333,0.03333333333333333,0.18333333333333335,0.23788028794122248,0.2,-0.0033333333333333335,-0.0023739424117555034,-0.0,-0.016666666666666666,0.5988396788628003,2
2,0.15421959587660794,0,0,0.6666666666666666,0.9001146198060206,0.051406531958869316,1.0,0.0,0.0,0.03333333333333333,0.3666666666666667,0.22502865495150515,0.2,-0.0033333333333333335,-0.002570326597943466,-0.0,-0.0,0.7857916616868952,3
2,0.15822787178519393,0,0,0.6666666666666666,0.8473719958776226,0.05274262392839798,1.0,0.0,0.0,0.026666666666666665,0.3666666666666667,0.21184299896940564,0.2,-0.0026666666666666666,-0.002637131196419899,-0.0,-0.0,0.7732058677729857,4
2,0.15822787178519393,0,0,0.6666666666666666,0.7946293719492247,0.05274262392839798,1.0,0.0,0.0,0.03333333333333333,0.3666666666666667,0.19865734298730617,0.2,-0.0033333333333333335,-0.002637131196419899,-0.0,-0.0,0.7593535451242196,5
2,0.14243654470533018,0,0,0.6666666666666666,0.7471505237141146,0.04747884823511006,1.0,0.0,0.0,0.026666666666666665,0.3666666666666667,0.18678763092852865,0.2,-0.0026666666666666666,-0.0023739424117555034,-0.0,-0.0,0.7484136885167733,6
0,0.0030000000000001137,0,0,0.0,0.7461505237141145,0.001000000000000038,1.0,0.0,0.0,0.04666666666666667,0.0,0.18653763092852862,0.2,-0.004666666666666667,-5.00000000000019e-05,-0.0,-0.0,0.381820964261862,7
2,0.15421959587660794,0,0,0.6666666666666666,0.6947439917552453,0.051406531958869316,1.0,0.0,0.0,0.03333333333333333,0.3666666666666667,0.17368599793881132,0.2,-0.0033333333333333335,-0.002570326597943466,-0.0,-0.0,0.7344490046742014,8
0,0.08650546147823546,0,1,0.0,0.6659088379291668,0.028835153826078486,1.0,0.0,0.3333333333333333,0.05333333333333333,0.0,0.1664772094822917,0.2,-0.005333333333333333,-0.0014417576913039244,-0.0,-0.016666666666666666,0.3430354517909877,9
0,0.0030000000000003357,0,0,0.0,0.6649088379291667,0.001000000000000112,1.0,0.0,0.0,0.07333333333333333,0.0,0.16622720948229167,0.2,-0.007333333333333334,-5.00000000000056e-05,-0.0,-0.0,0.35884387614895835,10
1,0.07071413439837193,0,0,0.3333333333333333,0.641337459796376,0.023571378132790644,1.0,0.0,0.0,0.07333333333333333,0.18333333333333335,0.160334364949094,0.2,-0.007333333333333334,-0.0011785689066395322,-0.0,-0.0,0.5351557960424544,11
2,0.2259420061835662,0,1,0.6666666666666666,0.5660234577351873,0.07531400206118873,1.0,0.0,0.3333333333333333,0.04666666666666667,0.3666666666666667,0.1415058644337968,0.2,-0.004666666666666667,-0.0037657001030594363,-0.0,-0.016666666666666666,0.6830734976640706,12
1,0.15421959587660772,0,1,0.3333333333333333,0.514616925776318,0.05140653195886924,1.0,0.0,0.3333333333333333,0.03333333333333333,0.18333333333333335,0.1286542314440795,0.2,-0.0033333333333333335,-0.002570326597943462,-0.0,-0.016666666666666666,0.4894172381794694,13
2,0.14243654470533063,0,0,0.6666666666666666,0.4671380775412078,0.047478848235110206,1.0,0.0,0.0,0.026666666666666665,0.3666666666666667,0.11678451938530195,0.2,-0.0026666666666666666,-0.0023739424117555103,-0.0,-0.0,0.6784105769735465,14
1,0.15421959587660794,0,1,0.3333333333333333,0.4157315455823385,0.051406531958869316,1.0,0.0,0.3333333333333333,0.03333333333333333,0.18333333333333335,0.10393288639558462,0.2,-0.0033333333333333335,-0.002570326597943466,-0.0,-0.016666666666666666,0.4646958931309745,15
1,0.1424365447053304,0,1,0.3333333333333333,0.3682526973472284,0.04747884823511014,1.0,0.0,0.3333333333333333,0.04,0.18333333333333335,0.0920631743368071,0.2,-0.004,-0.002373942411755507,-0.0,-0.016666666666666666,0.4523558985917183,16
1,0.07071413439837215,0,0,0.3333333333333333,0.3446813192144376,0.023571378132790716,1.0,0.0,0.0,0.04,0.18333333333333335,0.0861703298036094,0.2,-0.004,-0.0011785689066395359,-0.0,-0.0,0.4643250942303032,17
1,0.08650546147823568,0,0,0.3333333333333333,0.3158461653883591,0.02883515382607856,1.0,0.0,0.0,0.04,0.18333333333333335,0.07896154134708977,0.2,-0.004,-0.001441757691303928,-0.0,-0.0,0.4568531169891192,18
1,0.1424365447053304,0,1,0.3333333333333333,0.26836731715324896,0.04747884823511014,1.0,0.0,0.3333333333333333,0.04666666666666667,0.18333333333333335,0.06709182928831224,0.2,-0.004666666666666667,-0.002373942411755507,-0.0,-0.016666666666666666,0.4267178868765568,19
1,0.15822787178519393,0,1,0.3333333333333333,0.21562469322485098,0.05274262392839798,1.0,0.0,0.3333333333333333,0.05333333333333333,0.18333333333333335,0.053906173306212744,0.2,-0.005333333333333333,-0.002637131196419899,-0.0,-0.016666666666666666,0.4126023754431262,20
1,0.07071413439837215,0,0,0.3333333333333333,0.19205331509206025,0.023571378132790716,1.0,0.0,0.0,0.06,0.18333333333333335,0.04801332877301506,0.2,-0.006,-0.0011785689066395359,-0.0,-0.0,0.4241680931997089,21
0,0.07472241030695825,0,1,0.0,0.16714584498974083,0.024907470102319418,1.0,0.0,0.3333333333333333,0.08,0.0,0.04178646124743521,0.2,-0.008,-0.0012453735051159709,-0.0,-0.016666666666666666,0.21587442107565258,22
1,0.08650546147823568,0,0,0.3333333333333333,0.13831069116366226,0.02883515382607856,1.0,0.0,0.0,0.08,0.18333333333333335,0.034577672790915566,0.2,-0.008,-0.001441757691303928,-0.0,-0.0,0.40846924843294496,23
2,0.19987646844473803,1,0,0.6666666666666666,0.07168520168208294,0.06662548948157934,0.6666666666666666,0.3333333333333333,0.0,0.02,0.3666666666666667,0.017921300420520734,0.13333333333333333,-0.002,-0.0033312744740789674,-0.06666666666666667,-0.0,0.4459233592797751,24
1,0.10072452872974788,1,0,0.3333333333333333,0.03811035877216697,0.03357484290991596,0.3333333333333333,0.3333333333333333,0.0,0.02,0.18333333333333335,0.009527589693041743,0.06666666666666667,-0.002,-0.0016787421454957981,-0.06666666666666667,-0.0,0.1891821808808793,25
